model,model_slug,cell_id,modality,focus,budget_tokens,is_baseline,doc_index,runs,ok_runs,span_f1_mean,span_f1_std,exact_match_mean,exact_match_std,mc_accuracy_mean,mc_accuracy_std,ms_exact_match_mean,ms_exact_match_std,ms_f1_mean,ms_f1_std,abstention_rate_mean,abstention_rate_std,hallucination_rate_mean,hallucination_rate_std,wrong_doc_rate_mean,wrong_doc_rate_std,answered_positive_rate_mean,answered_positive_rate_std,latency_mean,prompt_tokens_mean,cost_mean
glm,z-ai/glm-5.2,d017_baseline,baseline,labels,0,True,17,1,1,,,,,0.7143,0.0,0.5,0.0,0.75,0.0,,,,,0.0,0.0,,,78.28,6734,0.0342
glm,z-ai/glm-5.2,d017_confusion_b512000,confusion,labels,512000,False,17,1,1,,,,,0.8571,0.0,0.5,0.0,0.8333,0.0,,,,,0.0,0.0,,,196.45,442720,0.6785
glm,z-ai/glm-5.2,d019_baseline,baseline,labels,0,True,19,1,1,,,,,0.8182,0.0,0.4,0.0,0.7179,0.0,,,,,0.0,0.0,,,70.308,6909,0.0314
glm,z-ai/glm-5.2,d019_confusion_b512000,confusion,labels,512000,False,19,1,1,,,,,0.8182,0.0,0.6,0.0,0.8846,0.0,,,,,0.0,0.0,,,128.616,449580,0.6631
glm,z-ai/glm-5.2,d027_baseline,baseline,labels,0,True,27,1,1,,,,,0.7778,0.0,0.4286,0.0,0.6891,0.0,,,,,0.0,0.0,,,74.047,8174,0.0253
glm,z-ai/glm-5.2,d027_confusion_b512000,confusion,labels,512000,False,27,1,0,,,,,,,,,,,,,,,,,,,,,
glm,z-ai/glm-5.2,d031_baseline,baseline,labels,0,True,31,1,1,,,,,0.6,0.0,0.2,0.0,0.8562,0.0,,,,,0.0,0.0,,,80.716,6119,0.0323
glm,z-ai/glm-5.2,d031_confusion_b512000,confusion,labels,512000,False,31,1,1,,,,,0.8,0.0,0.6,0.0,0.9238,0.0,,,,,0.0,0.0,,,92.24,441633,0.6456
glm,z-ai/glm-5.2,d032_baseline,baseline,labels,0,True,32,1,1,,,,,0.9286,0.0,0.5,0.0,0.875,0.0,,,,,0.0,0.0,,,47.257,6042,0.0135
glm,z-ai/glm-5.2,d032_confusion_b512000,confusion,labels,512000,False,32,1,1,,,,,0.9286,0.0,0.5,0.0,0.9737,0.0,,,,,0.0,0.0,,,195.722,444402,0.6518
glm,z-ai/glm-5.2,d040_baseline,baseline,labels,0,True,40,1,1,,,,,0.9231,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,,33.61,7912,0.0217
glm,z-ai/glm-5.2,d040_confusion_b512000,confusion,labels,512000,False,40,1,1,,,,,1.0,0.0,0.3333,0.0,0.619,0.0,,,,,0.0,0.0,,,169.578,449069,0.6582
glm,z-ai/glm-5.2,d044_baseline,baseline,labels,0,True,44,1,1,,,,,1.0,0.0,0.5556,0.0,0.784,0.0,,,,,0.0,0.0,,,106.095,5327,0.0266
glm,z-ai/glm-5.2,d044_confusion_b512000,confusion,labels,512000,False,44,1,1,,,,,1.0,0.0,0.5556,0.0,0.7099,0.0,,,,,0.0,0.0,,,269.162,445297,0.6711
glm,z-ai/glm-5.2,d047_baseline,baseline,labels,0,True,47,1,1,,,,,0.9167,0.0,0.5,0.0,0.825,0.0,,,,,0.0,0.0,,,50.648,9218,0.0212
glm,z-ai/glm-5.2,d047_confusion_b512000,confusion,labels,512000,False,47,1,1,,,,,0.9167,0.0,0.5,0.0,0.825,0.0,,,,,0.0,0.0,,,67.638,448598,0.6402
glm,z-ai/glm-5.2,d051_baseline,baseline,labels,0,True,51,1,1,,,,,1.0,0.0,0.5714,0.0,0.8631,0.0,,,,,0.0,0.0,,,119.839,9018,0.0347
glm,z-ai/glm-5.2,d051_confusion_b512000,confusion,labels,512000,False,51,1,1,,,,,1.0,0.0,0.4286,0.0,0.8202,0.0,,,,,0.0,0.0,,,211.247,444001,0.6628
glm,z-ai/glm-5.2,d057_baseline,baseline,labels,0,True,57,1,1,,,,,1.0,0.0,0.7143,0.0,0.8974,0.0,,,,,0.0,0.0,,,30.425,5892,0.0198
glm,z-ai/glm-5.2,d057_confusion_b512000,confusion,labels,512000,False,57,1,1,,,,,1.0,0.0,0.7143,0.0,0.944,0.0,,,,,0.0,0.0,,,517.792,441917,0.5644
glm,z-ai/glm-5.2,d060_baseline,baseline,labels,0,True,60,1,1,,,,,0.8333,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,,29.691,5356,0.0187
glm,z-ai/glm-5.2,d060_confusion_b512000,confusion,labels,512000,False,60,1,1,,,,,0.9167,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,,73.663,447242,0.6411
glm,z-ai/glm-5.2,d066_baseline,baseline,labels,0,True,66,1,1,,,,,0.7778,0.0,0.6667,0.0,0.9056,0.0,,,,,0.0,0.0,,,84.233,5407,0.0223
glm,z-ai/glm-5.2,d066_confusion_b512000,confusion,labels,512000,False,66,1,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,265.312,441718,0.6516
glm,z-ai/glm-5.2,d067_baseline,baseline,labels,0,True,67,1,0,,,,,,,,,,,,,,,,,,,,,
glm,z-ai/glm-5.2,d067_confusion_b512000,confusion,labels,512000,False,67,1,1,,,,,1.0,0.0,0.375,0.0,0.6607,0.0,,,,,0.0,0.0,,,853.691,452131,0.609
glm,z-ai/glm-5.2,d078_baseline,baseline,labels,0,True,78,1,1,,,,,0.625,0.0,0.75,0.0,0.95,0.0,,,,,0.0,0.0,,,21.028,5316,0.0178
glm,z-ai/glm-5.2,d078_confusion_b512000,confusion,labels,512000,False,78,1,1,,,,,0.875,0.0,0.75,0.0,0.95,0.0,,,,,0.0,0.0,,,261.605,442612,0.5505
glm,z-ai/glm-5.2,d079_baseline,baseline,labels,0,True,79,1,1,,,,,0.7,0.0,0.5,0.0,0.6944,0.0,,,,,0.0,0.0,,,326.725,4674,0.0231
glm,z-ai/glm-5.2,d079_confusion_b512000,confusion,labels,512000,False,79,1,1,,,,,0.9,0.0,0.5,0.0,0.6944,0.0,,,,,0.0,0.0,,,125.14,441554,0.64
glm,z-ai/glm-5.2,d092_baseline,baseline,labels,0,True,92,1,1,,,,,0.8,0.0,0.5,0.0,0.8968,0.0,,,,,0.0,0.0,,,99.685,4846,0.0243
glm,z-ai/glm-5.2,d092_confusion_b512000,confusion,labels,512000,False,92,1,1,,,,,0.9,0.0,0.3333,0.0,0.7155,0.0,,,,,0.0,0.0,,,96.547,442337,0.6508
glm,z-ai/glm-5.2,d095_baseline,baseline,labels,0,True,95,1,1,,,,,0.8889,0.0,0.3333,0.0,0.8222,0.0,,,,,0.0,0.0,,,82.13,7149,0.0289
glm,z-ai/glm-5.2,d095_confusion_b512000,confusion,labels,512000,False,95,1,1,,,,,0.8889,0.0,0.3333,0.0,0.8222,0.0,,,,,0.0,0.0,,,100.009,447285,0.6607
glm,z-ai/glm-5.2,d101_baseline,baseline,labels,0,True,101,1,1,,,,,0.8462,0.0,0.6667,0.0,0.9412,0.0,,,,,0.0,0.0,,,44.412,10634,0.0214
glm,z-ai/glm-5.2,d101_confusion_b512000,confusion,labels,512000,False,101,1,1,,,,,1.0,0.0,0.6667,0.0,0.9333,0.0,,,,,0.0,0.0,,,119.688,453728,0.6737
glm,z-ai/glm-5.2,d102_baseline,baseline,labels,0,True,102,1,1,,,,,0.8,0.0,0.6,0.0,0.8333,0.0,,,,,0.0,0.0,,,117.61,7907,0.0435
glm,z-ai/glm-5.2,d102_confusion_b512000,confusion,labels,512000,False,102,1,0,,,,,,,,,,,,,,,,,,,,,
glm,z-ai/glm-5.2,d104_baseline,baseline,labels,0,True,104,1,1,,,,,0.5556,0.0,0.5,0.0,0.9,0.0,,,,,0.0,0.0,,,57.055,5801,0.0351
glm,z-ai/glm-5.2,d104_confusion_b512000,confusion,labels,512000,False,104,1,1,,,,,0.5556,0.0,0.3333,0.0,0.8393,0.0,,,,,0.0,0.0,,,89.53,444194,0.6485
glm,z-ai/glm-5.2,d115_baseline,baseline,labels,0,True,115,1,1,,,,,0.875,0.0,0.625,0.0,0.7875,0.0,,,,,0.0,0.0,,,82.778,8252,0.0373
glm,z-ai/glm-5.2,d115_confusion_b512000,confusion,labels,512000,False,115,1,1,,,,,0.875,0.0,0.5,0.0,0.7667,0.0,,,,,0.0,0.0,,,517.264,444650,0.583
glm,z-ai/glm-5.2,d120_baseline,baseline,labels,0,True,120,1,1,,,,,0.9,0.0,0.3333,0.0,0.6083,0.0,,,,,0.0,0.0,,,44.448,7878,0.0308
glm,z-ai/glm-5.2,d120_confusion_b512000,confusion,labels,512000,False,120,1,0,,,,,,,,,,,,,,,,,,,,,
glm,z-ai/glm-5.2,d130_baseline,baseline,labels,0,True,130,1,1,,,,,0.9,0.0,0.3333,0.0,0.5694,0.0,,,,,0.0,0.0,,,96.372,7073,0.0448
glm,z-ai/glm-5.2,d130_confusion_b512000,confusion,labels,512000,False,130,1,1,,,,,0.8,0.0,0.3333,0.0,0.7037,0.0,,,,,0.0,0.0,,,182.92,446073,0.6791
glm,z-ai/glm-5.2,d137_baseline,baseline,labels,0,True,137,1,1,,,,,0.8,0.0,0.5,0.0,0.8595,0.0,,,,,0.0,0.0,,,172.044,8124,0.0402
glm,z-ai/glm-5.2,d137_confusion_b512000,confusion,labels,512000,False,137,1,1,,,,,0.9,0.0,0.5,0.0,0.8704,0.0,,,,,0.0,0.0,,,156.446,450505,0.6518
glm,z-ai/glm-5.2,d149_baseline,baseline,labels,0,True,149,1,1,,,,,0.8889,0.0,0.1429,0.0,0.4449,0.0,,,,,0.0,0.0,,,36.931,4422,0.0196
glm,z-ai/glm-5.2,d149_confusion_b512000,confusion,labels,512000,False,149,1,1,,,,,0.8889,0.0,0.2857,0.0,0.4925,0.0,,,,,0.0,0.0,,,270.564,443407,0.6619
